date,end_date,name,country_code,year,status,date_status,source_urls
2027-01-01,,Tahun Baru,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html
2027-02-05,2027-02-08,Tahun Baru Imlek,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2027-02-07,,Hari Peringatan 7 Februari,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-03-08,,Hari Perempuan Internasional,CN,2027,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-03-12,,Hari Menanam Pohon,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/zhengce/2019-12/28/content_5464840.htm
2027-04-05,,Festival Qingming,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2027-05-01,2027-05-02,Hari Buruh,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html
2027-05-04,,Hari Pemuda,CN,2027,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-05-12,,Hari Perawat Internasional,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/zhengce/zhengceku/2020-05/26/content_5515100.htm
2027-05-30,,Hari Peringatan 30 Mei,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-06-01,,Hari Anak,CN,2027,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-06-09,,Festival Perahu Naga,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2027-07-07,,Hari Peringatan Perang Perlawanan 7 Juli,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/yaowen/liebiao/202506/content_7029238.htm
2027-08-01,,Hari Tentara,CN,2027,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-09-03,,Hari Kemenangan Perang Perlawanan Rakyat Tiongkok,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/yaowen/liebiao/202506/content_7029238.htm
2027-09-10,,Hari Guru,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/zhengce/zhengceku/202508/content_7038098.htm
2027-09-15,,Festival Pertengahan Musim Gugur,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2027-09-18,,Hari Peringatan 18 September,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/yaowen/liebiao/202506/content_7029238.htm
2027-09-30,,Hari Pahlawan Martir,CN,2027,commemorative,confirmed,https://www.gov.cn/yaowen/liebiao/202309/content_6907102.htm
2027-10-01,2027-10-03,Hari Nasional,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html
2027-12-13,,Hari Peringatan Nasional Korban Pembantaian Nanjing,CN,2027,commemorative,confirmed,https://www.gov.cn/yaowen/liebiao/202412/content_6992401.htm
